Date,HomeTeam,AwayTeam,Referee,HPPG,HPPGH,HPPG_FORM,HPPGH_FORM,APPG,APPGA,APPG_FORM,APPGA_FORM,HGS,HGSH,HGS_FORM,HGSH_FORM,AGS,AGSA,AGS_FORM,AGSA_FORM,HGC,HGCH,HGC_FORM,HGCH_FORM,AGC,AGCA,AGC_FORM,AGCA_FORM,HCS,HCSH,HCS_FORM,HCSH_FORM,ACS,ACSA,ACS_FORM,ACSA_FORM,HPOS,APOS,HPDU,HPDD,APDU,APDD,HS_FORM,AS_FORM,HST_FORM,AST_FORM,HF_FORM,AF_FORM,HC_FORM,AC_FORM,HY_FORM,AY_FORM,HR_FORM,AR_FORM,FTR
29/08/2015,Bournemouth,Leicester,N Swarbrick,1.0,0.0,1.0,0.0,2.3333333333333335,3.0,2.3333333333333335,3.0,1.3333333333333333,0.0,1.3333333333333333,0.0,2.3333333333333335,2.0,2.3333333333333335,2.0,1.6666666666666667,1.0,1.6666666666666667,1.0,1.3333333333333333,1.0,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,0.0,0.0,2.0,0.0,13.0,14.333333333333334,3.6666666666666665,5.333333333333333,14.0,10.666666666666666,6.0,4.0,2.3333333333333335,2.0,0.0,0.0,D
29/08/2015,Chelsea,Crystal Palace,C Pawson,1.3333333333333333,1.0,1.3333333333333333,1.0,2.0,3.0,2.0,3.0,1.6666666666666667,2.0,1.6666666666666667,2.0,2.0,3.0,2.0,3.0,2.3333333333333335,2.0,2.3333333333333335,2.0,1.3333333333333333,1.0,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,0.0,1.0,1.0,1.0,12.0,12.666666666666666,3.6666666666666665,5.666666666666667,13.333333333333334,15.333333333333334,4.0,5.333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.0,A
29/08/2015,Liverpool,West Ham,K Friend,2.3333333333333335,3.0,2.3333333333333335,3.0,1.0,3.0,1.0,3.0,0.6666666666666666,1.0,0.6666666666666666,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,3,11,0.0,0.0,1.0,0.0,13.666666666666666,9.333333333333334,4.333333333333333,3.6666666666666665,13.333333333333334,9.333333333333334,6.333333333333333,5.666666666666667,3.0,1.3333333333333333,0.0,0.6666666666666666,A
29/08/2015,Man City,Watford,M Clattenburg,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.6666666666666665,3.0,2.6666666666666665,3.0,0.6666666666666666,2.0,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.6666666666666666,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.6666666666666666,0.0,1,12,0.0,2.0,0.0,0.0,17.666666666666668,13.333333333333334,8.0,3.3333333333333335,11.666666666666666,12.0,6.0,3.0,2.6666666666666665,1.0,0.0,0.0,H
29/08/2015,Newcastle,Arsenal,A Marriner,0.6666666666666666,1.0,0.6666666666666666,1.0,1.3333333333333333,3.0,1.3333333333333333,3.0,0.6666666666666666,2.0,0.6666666666666666,2.0,0.6666666666666666,2.0,0.6666666666666666,2.0,1.3333333333333333,2.0,1.3333333333333333,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,17,9,0.0,0.0,0.0,0.0,6.666666666666667,20.333333333333332,2.0,6.0,9.333333333333334,8.666666666666666,5.0,6.0,1.6666666666666667,1.0,0.3333333333333333,0.0,A
29/08/2015,Stoke,West Brom,M Oliver,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,1.3333333333333333,1.0,1.3333333333333333,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,15,20,1.0,0.0,0.0,0.0,9.666666666666666,10.0,3.0,2.6666666666666665,8.333333333333334,10.333333333333334,2.0,6.0,1.6666666666666667,2.6666666666666665,0.0,0.0,A
29/08/2015,Tottenham,Everton,M Jones,0.6666666666666666,1.0,0.6666666666666666,1.0,1.3333333333333333,3.0,1.3333333333333333,3.0,1.0,2.0,1.0,2.0,1.6666666666666667,3.0,1.6666666666666667,3.0,1.3333333333333333,2.0,1.3333333333333333,2.0,1.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,16,7,0.0,0.0,1.0,0.0,13.666666666666666,10.0,5.666666666666667,3.3333333333333335,13.666666666666666,7.333333333333333,4.333333333333333,8.333333333333334,3.0,1.0,0.0,0.0,D
30/08/2015,Southampton,Norwich,J Moss,0.6666666666666666,0.0,0.6666666666666666,0.0,1.3333333333333333,3.0,1.3333333333333333,3.0,0.6666666666666666,0.0,0.6666666666666666,0.0,1.6666666666666667,3.0,1.6666666666666667,3.0,1.6666666666666667,3.0,1.6666666666666667,3.0,1.6666666666666667,1.0,1.6666666666666667,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,19,10,0.0,0.0,1.0,0.0,15.333333333333334,19.0,4.666666666666667,6.333333333333333,11.333333333333334,12.333333333333334,5.666666666666667,5.333333333333333,3.3333333333333335,2.3333333333333335,0.0,0.0,H
30/08/2015,Swansea,Man United,M Atkinson,1.6666666666666667,3.0,1.6666666666666667,3.0,2.3333333333333335,3.0,2.3333333333333335,3.0,1.6666666666666667,2.0,1.6666666666666667,2.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,8,4,1.0,0.0,1.0,0.0,19.0,12.666666666666666,8.333333333333334,3.6666666666666665,12.0,12.333333333333334,5.333333333333333,5.666666666666667,2.3333333333333335,2.0,0.0,0.0,H
12/09/2015,Arsenal,Stoke,J Moss,1.75,0.5,1.75,0.5,0.5,1.0,0.5,1.0,0.75,0.0,0.75,0.0,0.75,1.5,0.75,1.5,0.75,1.0,0.75,1.0,1.25,1.5,1.25,1.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,6,18,0.0,0.0,1.0,0.0,20.75,10.5,6.75,3.5,8.5,7.25,6.75,3.0,1.0,1.5,0.0,0.5,H
